"chromosome"	"transcript_start"	"transcript_end"	"name"
1	2903	10817	LOC_Os01g01010
1	11218	12435	LOC_Os01g01019
1	12648	15915	LOC_Os01g01030
1	16292	20323	LOC_Os01g01040
1	22841	26971	LOC_Os01g01050
1	27136	28651	LOC_Os01g01060
1	29818	34493	LOC_Os01g01070
1	35581	41180	LOC_Os01g01080
1	57082	57972	LOC_Os01g01110
1	58658	61090	LOC_Os01g01115
1	62059	63576	LOC_Os01g01120
1	63244	66302	LOC_Os01g01130
1	69675	70131	LOC_Os01g01140
1	72775	79938	LOC_Os01g01150
1	82428	84302	LOC_Os01g01160
1	85337	88844	LOC_Os01g01170
1	88986	89204	LOC_Os01g01180
1	89653	91521	LOC_Os01g01190
1	134291	135685	LOC_Os01g01280
1	139820	141588	LOC_Os01g01290
1	141936	144554	LOC_Os01g01295
1	145577	147852	LOC_Os01g01302
1	148045	150577	LOC_Os01g01307
1	168470	170389	LOC_Os01g01340
1	170712	173434	LOC_Os01g01350
1	178310	180812	LOC_Os01g01360
1	186246	190846	LOC_Os01g01369
1	191036	196287	LOC_Os01g01380
1	197647	200803	LOC_Os01g01390
1	201944	206743	LOC_Os01g01400
1	205710	209606	LOC_Os01g01410
1	209771	214229	LOC_Os01g01420
1	216126	217664	LOC_Os01g01430
1	219011	220776	LOC_Os01g01440
1	226897	229331	LOC_Os01g01450
1	241641	243468	LOC_Os01g01470
1	248706	256878	LOC_Os01g01484
1	259607	259909	LOC_Os01g01500
1	261504	268471	LOC_Os01g01510
1	270145	275084	LOC_Os01g01520
1	288372	292296	LOC_Os01g01570
1	292844	293535	LOC_Os01g01580
1	293648	294536	LOC_Os01g01590
1	303103	306800	LOC_Os01g01600
1	306869	308842	LOC_Os01g01610
1	309459	313170	LOC_Os01g01620
1	319713	322248	LOC_Os01g01640
1	322556	323948	LOC_Os01g01650
1	327128	328451	LOC_Os01g01660
1	330238	332345	LOC_Os01g01670
1	332667	333689	LOC_Os01g01680
1	335809	371191	LOC_Os01g01689
1	371831	374470	LOC_Os01g01700
1	374728	380716	LOC_Os01g01710
1	383047	386701	LOC_Os01g01720
1	390051	390623	LOC_Os01g01730
1	392081	396651	LOC_Os01g01740
1	403692	404402	LOC_Os01g01760
1	409700	410818	LOC_Os01g01770
1	412579	415830	LOC_Os01g01780
1	416241	420497	LOC_Os01g01790
1	422462	431692	LOC_Os01g01800
1	432435	432752	LOC_Os01g01810
1	437613	449137	LOC_Os01g01830
1	455512	460716	LOC_Os01g01840
1	478325	481166	LOC_Os01g01870
1	482332	482956	LOC_Os01g01880
1	483885	486492	LOC_Os01g01890
1	496066	497368	LOC_Os01g01910
1	498454	506264	LOC_Os01g01920
1	507270	509225	LOC_Os01g01925
1	509387	510112	LOC_Os01g01930
1	510752	512159	LOC_Os01g01940
1	512840	513502	LOC_Os01g01950
1	513890	522448	LOC_Os01g01960
1	524579	528002	LOC_Os01g01970
